                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68531,                0.54734,                0.99101,                0.88773,                0.78984,                0.87465,                0.74725,                0.64144,                0.61246,                0.95297,               0.004225,               0.004225,               0.004225
                     37,                0.68347,                 0.5395,                0.98905,                0.90362,                0.80777,                0.88524,                0.74073,                0.70178,                0.58783,                 0.9589,                0.00406,                0.00406,                0.00406
                     38,                0.66156,                0.51268,                0.97566,                0.90402,                0.80981,                0.89907,                0.74855,                0.71696,                0.57706,                0.96453,               0.003895,               0.003895,               0.003895
                     39,                0.65887,                0.51751,                 0.9859,                0.91235,                0.79971,                0.88485,                0.74879,                0.65106,                0.60084,                0.95186,                0.00373,                0.00373,                0.00373
                     40,                0.64518,                  0.505,                0.97994,                0.90946,                0.79839,                0.88334,                0.74876,                0.66522,                0.58962,                0.95477,               0.003565,               0.003565,               0.003565
                     41,                0.64709,                0.50992,                0.97966,                0.91196,                0.81499,                0.88764,                0.76138,                0.65495,                0.57552,                0.94196,                 0.0034,                 0.0034,                 0.0034
                     42,                0.64862,                0.50729,                0.98371,                0.91685,                0.78555,                0.87678,                0.73694,                0.65612,                 0.5968,                0.94042,               0.003235,               0.003235,               0.003235
                     43,                0.64864,                0.50116,                0.97831,                0.88483,                0.79858,                0.87462,                0.74827,                0.65577,                0.59798,                0.93558,                0.00307,                0.00307,                0.00307
                     44,                0.63452,                0.48471,                0.97262,                 0.8768,                0.82673,                0.88467,                0.75542,                0.64108,                0.58401,                0.92852,               0.002905,               0.002905,               0.002905
                     45,                 0.6419,                0.49372,                0.97325,                0.88069,                0.79921,                0.87931,                0.74795,                0.63017,                0.57513,                0.92347,                0.00274,                0.00274,                0.00274
                     46,                0.62709,                0.46504,                0.95879,                0.88505,                0.80687,                0.88169,                0.75828,                0.63363,                0.59756,                0.92308,               0.002575,               0.002575,               0.002575
                     47,                0.62077,                0.46694,                0.96814,                0.91455,                0.78998,                0.88712,                0.76256,                 0.6295,                0.55667,                0.92299,                0.00241,                0.00241,                0.00241
                     48,                0.60812,                0.44557,                0.96087,                0.87343,                0.81086,                0.87289,                0.75608,                 0.6341,                0.58409,                0.93822,               0.002245,               0.002245,               0.002245
                     49,                0.60958,                0.44718,                0.95526,                0.89972,                0.82094,                0.89221,                0.76877,                0.63489,                0.55075,                0.92643,                0.00208,                0.00208,                0.00208
                     50,                 0.5134,                0.36662,                0.88093,                0.91438,                0.79604,                0.88379,                0.74704,                0.67586,                 0.5977,                0.94815,               0.001915,               0.001915,               0.001915
                     51,                0.50536,                0.34114,                0.87378,                0.91045,                0.81007,                0.88729,                0.76165,                0.64574,                0.53405,                 0.9287,                0.00175,                0.00175,                0.00175
                     52,                0.49779,                0.34521,                0.87152,                0.91329,                0.81885,                0.89051,                0.77261,                0.62658,                0.53868,                0.91869,               0.001585,               0.001585,               0.001585
                     53,                0.48944,                0.32684,                 0.8627,                0.92412,                0.80289,                0.89058,                0.77751,                0.63502,                 0.5457,                0.92611,                0.00142,                0.00142,                0.00142
                     54,                0.48469,                0.33104,                0.85815,                0.90322,                 0.8279,                 0.8934,                0.76955,                0.63699,                0.56739,                 0.9205,               0.001255,               0.001255,               0.001255
                     55,                0.47561,                0.31121,                0.85624,                 0.9016,                0.82684,                0.88774,                0.77247,                0.61825,                0.55501,                0.92585,                0.00109,                0.00109,                0.00109
                     56,                0.47292,                0.30618,                0.86086,                0.91138,                0.82073,                0.89131,                 0.7759,                0.62877,                0.55904,                0.92657,               0.000925,               0.000925,               0.000925
                     57,                0.46725,                0.30037,                0.85998,                0.90229,                0.82828,                0.89506,                0.77021,                 0.6647,                0.56863,                0.93692,                0.00076,                0.00076,                0.00076
                     58,                0.45083,                 0.2846,                0.84432,                0.90642,                0.82911,                0.89904,                0.77665,                0.64961,                0.54157,                0.93319,               0.000595,               0.000595,               0.000595
                     59,                0.45945,                0.29793,                0.85533,                0.89439,                0.83573,                0.89992,                0.77738,                0.63312,                0.53835,                0.92533,                0.00043,                0.00043,                0.00043
